,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1019.00000,1891.00000,741.00000,301.00000,3952.00000,56038.00000,2375.00000,1412.00000,61497.00000,65449.00000,5520.00000,31648.00000,1785.00000,47766.00000,53286.00000,2782.00000,58887.00000,-582.00000,12163.00000,65449.00000
2022-09-30,1313.00000,2052.00000,794.00000,246.00000,4405.00000,55689.00000,2314.00000,1232.00000,60938.00000,65343.00000,5712.00000,31744.00000,1973.00000,47888.00000,53600.00000,2782.00000,58047.00000,-832.00000,11743.00000,65343.00000
2022-06-30,834.00000,2052.00000,790.00000,300.00000,3976.00000,55315.00000,2287.00000,1156.00000,60464.00000,64440.00000,6002.00000,29673.00000,1983.00000,45728.00000,51730.00000,2781.00000,56958.00000,-841.00000,12710.00000,64440.00000
2022-03-31,955.00000,1958.00000,726.00000,237.00000,3876.00000,55064.00000,2279.00000,1105.00000,60175.00000,64051.00000,5462.00000,30680.00000,1982.00000,46692.00000,52154.00000,2782.00000,55937.00000,-878.00000,11897.00000,64051.00000
2021-12-31,1006.00000,1722.00000,621.00000,202.00000,3551.00000,54871.00000,2241.00000,1075.00000,59974.00000,63525.00000,5744.00000,27563.00000,1953.00000,43620.00000,49364.00000,2781.00000,55049.00000,-914.00000,14161.00000,63525.00000
2021-09-30,1240.00000,1679.00000,664.00000,227.00000,3810.00000,54362.00000,2273.00000,285.00000,58550.00000,62360.00000,5111.00000,27560.00000,2010.00000,43332.00000,48443.00000,2781.00000,54094.00000,-1533.00000,13917.00000,62360.00000
2021-06-30,1161.00000,1666.00000,688.00000,249.00000,3764.00000,54148.00000,2277.00000,249.00000,58309.00000,62073.00000,4357.00000,27702.00000,2066.00000,43413.00000,47770.00000,2781.00000,53116.00000,-1551.00000,14303.00000,62073.00000
2021-03-31,1243.00000,1610.00000,659.00000,207.00000,3719.00000,54062.00000,2167.00000,264.00000,58074.00000,61793.00000,4871.00000,25117.00000,2073.00000,40668.00000,45539.00000,2781.00000,52019.00000,-1594.00000,16254.00000,61793.00000
2020-12-31,1859.00000,1505.00000,638.00000,212.00000,4214.00000,54161.00000,2164.00000,249.00000,58184.00000,62398.00000,4173.00000,25660.00000,2077.00000,41267.00000,45440.00000,2781.00000,51326.00000,-1593.00000,16958.00000,62398.00000
2020-09-30,2661.00000,1565.00000,649.00000,255.00000,5130.00000,54375.00000,2071.00000,496.00000,58584.00000,63714.00000,4841.00000,26080.00000,1973.00000,41674.00000,46515.00000,2781.00000,50600.00000,-1351.00000,17199.00000,63714.00000
2020-06-30,2766.00000,1388.00000,668.00000,261.00000,5083.00000,54270.00000,2042.00000,460.00000,58472.00000,63555.00000,5279.00000,26439.00000,1894.00000,41824.00000,47103.00000,2781.00000,49892.00000,-1372.00000,16452.00000,63555.00000
2020-03-31,1190.00000,1669.00000,692.00000,253.00000,3804.00000,54121.00000,2078.00000,440.00000,58412.00000,62216.00000,4641.00000,26365.00000,1792.00000,41584.00000,46225.00000,2781.00000,49419.00000,-1329.00000,15991.00000,62216.00000
2019-12-31,891.00000,1595.00000,751.00000,222.00000,3459.00000,53916.00000,2050.00000,436.00000,58214.00000,61673.00000,4351.00000,23943.00000,1788.00000,39194.00000,43545.00000,2780.00000,48605.00000,-1356.00000,18128.00000,61673.00000
2019-09-30,1310.00000,1650.00000,771.00000,342.00000,4073.00000,53488.00000,2003.00000,483.00000,57905.00000,61978.00000,4587.00000,24314.00000,1775.00000,39375.00000,43962.00000,2780.00000,47875.00000,-1305.00000,18016.00000,61978.00000
2019-06-30,1109.00000,1809.00000,775.00000,393.00000,4086.00000,53115.00000,1989.00000,442.00000,57622.00000,61708.00000,5665.00000,22955.00000,1731.00000,37872.00000,43537.00000,2780.00000,46997.00000,-1298.00000,18171.00000,61708.00000
2019-03-31,1119.00000,1672.00000,780.00000,382.00000,3953.00000,52856.00000,1951.00000,413.00000,57366.00000,61319.00000,5262.00000,23409.00000,1835.00000,38315.00000,43577.00000,2780.00000,46049.00000,-1378.00000,17742.00000,61319.00000
2018-12-31,1333.00000,1755.00000,742.00000,333.00000,4163.00000,52679.00000,1912.00000,393.00000,54984.00000,59147.00000,4626.00000,20925.00000,1871.00000,34098.00000,38724.00000,2779.00000,45284.00000,-1415.00000,20423.00000,59147.00000
2018-09-30,1900.00000,1792.00000,789.00000,335.00000,4816.00000,52210.00000,1887.00000,399.00000,54496.00000,59312.00000,4529.00000,20943.00000,1925.00000,34138.00000,38667.00000,2779.00000,44313.00000,-1392.00000,20645.00000,59312.00000
2018-06-30,1694.00000,1634.00000,772.00000,394.00000,4494.00000,51947.00000,1856.00000,392.00000,54195.00000,58689.00000,4372.00000,21357.00000,1942.00000,34408.00000,38780.00000,2779.00000,43311.00000,-1428.00000,19909.00000,58689.00000
2018-03-31,1138.00000,1571.00000,808.00000,380.00000,3897.00000,51696.00000,1810.00000,386.00000,53892.00000,57789.00000,4746.00000,15697.00000,1907.00000,28654.00000,33400.00000,2779.00000,42359.00000,-1422.00000,24389.00000,57789.00000
2017-12-31,1365.00000,1493.00000,749.00000,399.00000,4006.00000,51605.00000,1809.00000,386.00000,53800.00000,57806.00000,3939.00000,16144.00000,1931.00000,29011.00000,32950.00000,2778.00000,41317.00000,-1141.00000,24856.00000,57806.00000
2017-09-30,1937.00000,1428.00000,742.00000,342.00000,4449.00000,51036.00000,1566.00000,346.00000,52948.00000,57397.00000,3831.00000,15930.00000,1961.00000,34415.00000,38246.00000,2778.00000,34561.00000,-1172.00000,19151.00000,57397.00000
2017-06-30,1376.00000,1357.00000,726.00000,410.00000,3869.00000,50814.00000,1504.00000,291.00000,52609.00000,56478.00000,3406.00000,15229.00000,1899.00000,33457.00000,36863.00000,2778.00000,33847.00000,-1221.00000,19615.00000,56478.00000
2017-03-31,1139.00000,1279.00000,760.00000,410.00000,3588.00000,50550.00000,1480.00000,282.00000,52312.00000,55900.00000,3848.00000,14310.00000,1862.00000,32329.00000,36177.00000,2779.00000,33167.00000,-1252.00000,19723.00000,55900.00000
2016-12-31,1337.00000,1258.00000,717.00000,284.00000,3596.00000,50389.00000,1457.00000,276.00000,52122.00000,55718.00000,3640.00000,14249.00000,1901.00000,32146.00000,35786.00000,2777.00000,32587.00000,-1272.00000,19932.00000,55718.00000
2016-09-30,2239.00000,1351.00000,690.00000,322.00000,4602.00000,49939.00000,1446.00000,318.00000,51703.00000,56305.00000,3257.00000,15205.00000,1785.00000,32764.00000,36021.00000,2777.00000,31940.00000,-1185.00000,20284.00000,56305.00000
2016-06-30,2160.00000,1373.00000,660.00000,373.00000,4566.00000,49461.00000,1408.00000,255.00000,51124.00000,55690.00000,3095.00000,14777.00000,1803.00000,32173.00000,35268.00000,2778.00000,31266.00000,-1198.00000,20422.00000,55690.00000
2016-03-31,2673.00000,1355.00000,716.00000,339.00000,5083.00000,49071.00000,1404.00000,214.00000,50689.00000,55772.00000,3287.00000,14791.00000,1815.00000,32010.00000,35297.00000,2778.00000,30747.00000,-1208.00000,20475.00000,55772.00000
2015-12-31,1391.00000,1356.00000,736.00000,647.00000,4130.00000,48866.00000,1410.00000,194.00000,50470.00000,54600.00000,3206.00000,13607.00000,1844.00000,30692.00000,33898.00000,2776.00000,30233.00000,-1195.00000,20702.00000,54600.00000
2015-09-30,1078.00000,1508.00000,741.00000,397.00000,3942.00000,48149.00000,1373.00000,299.00000,49821.00000,53763.00000,3508.00000,12798.00000,1796.00000,29656.00000,33164.00000,2776.00000,29583.00000,-1212.00000,20599.00000,53763.00000
2015-06-30,2041.00000,1513.00000,762.00000,432.00000,4983.00000,47512.00000,1375.00000,307.00000,49194.00000,54177.00000,3413.00000,12908.00000,1959.00000,29774.00000,33187.00000,2776.00000,28759.00000,-1208.00000,20990.00000,54177.00000
2015-03-31,1587.00000,1564.00000,744.00000,334.00000,4479.00000,46928.00000,1375.00000,363.00000,48666.00000,53145.00000,3390.00000,11884.00000,2040.00000,28698.00000,32088.00000,2776.00000,28034.00000,-1218.00000,21057.00000,53145.00000
2014-12-31,1586.00000,1611.00000,712.00000,492.00000,4401.00000,46272.00000,1390.00000,309.00000,47971.00000,52372.00000,3764.00000,10952.00000,2064.00000,27419.00000,31183.00000,2775.00000,27367.00000,-1210.00000,21189.00000,52372.00000
2014-09-30,1887.00000,1635.00000,736.00000,304.00000,4780.00000,45553.00000,1384.00000,851.00000,47788.00000,52568.00000,3833.00000,11045.00000,1716.00000,27182.00000,31015.00000,2775.00000,26380.00000,-708.00000,21553.00000,52568.00000
2014-06-30,1537.00000,1666.00000,739.00000,322.00000,4503.00000,44901.00000,1369.00000,789.00000,47059.00000,51562.00000,3777.00000,10385.00000,1659.00000,26345.00000,30122.00000,2775.00000,25456.00000,-714.00000,21440.00000,51562.00000
2014-03-31,1857.00000,1542.00000,705.00000,316.00000,4679.00000,44189.00000,1344.00000,686.00000,46219.00000,50898.00000,4188.00000,9544.00000,1665.00000,25438.00000,29626.00000,1388.00000,25962.00000,-734.00000,21272.00000,50898.00000
2013-12-31,1432.00000,1414.00000,653.00000,223.00000,3990.00000,43749.00000,1321.00000,671.00000,45741.00000,49731.00000,3791.00000,8872.00000,1680.00000,24715.00000,28506.00000,2774.00000,23901.00000,-750.00000,21225.00000,49731.00000
2013-09-30,1366.00000,1469.00000,683.00000,316.00000,4064.00000,43311.00000,1282.00000,301.00000,44894.00000,48958.00000,3655.00000,8764.00000,2026.00000,24529.00000,28184.00000,1387.00000,24476.00000,-1143.00000,20774.00000,48958.00000
2013-06-30,1845.00000,1468.00000,654.00000,334.00000,4543.00000,42911.00000,1272.00000,300.00000,44483.00000,49026.00000,3825.00000,9076.00000,2124.00000,24677.00000,28502.00000,1387.00000,23690.00000,-1148.00000,20524.00000,49026.00000
2013-03-31,1917.00000,1512.00000,655.00000,311.00000,4646.00000,42376.00000,1240.00000,299.00000,43915.00000,48561.00000,3610.00000,9309.00000,2210.00000,24807.00000,28417.00000,1387.00000,22905.00000,-1169.00000,20144.00000,48561.00000
2012-12-31,1063.00000,1331.00000,660.00000,297.00000,3614.00000,41997.00000,1259.00000,283.00000,43539.00000,47153.00000,3119.00000,8801.00000,2248.00000,24157.00000,27276.00000,1386.00000,22271.00000,-1186.00000,19877.00000,47153.00000
2012-09-30,1130.00000,1583.00000,680.00000,260.00000,3946.00000,41617.00000,1235.00000,272.00000,43124.00000,47070.00000,3874.00000,8773.00000,2016.00000,23647.00000,27521.00000,1386.00000,21560.00000,-1015.00000,19549.00000,47070.00000
2012-06-30,1201.00000,1497.00000,646.00000,288.00000,3956.00000,40937.00000,1211.00000,270.00000,42418.00000,46374.00000,3917.00000,8636.00000,2088.00000,23370.00000,27287.00000,1386.00000,20802.00000,-1061.00000,19087.00000,46374.00000
2012-03-31,995.00000,1327.00000,682.00000,247.00000,3565.00000,40309.00000,1210.00000,252.00000,41771.00000,45336.00000,3902.00000,8066.00000,2108.00000,22679.00000,26581.00000,1387.00000,20084.00000,-1046.00000,18755.00000,45336.00000
2011-12-31,1217.00000,1401.00000,614.00000,189.00000,3727.00000,39934.00000,1175.00000,260.00000,41369.00000,45096.00000,3317.00000,8697.00000,2136.00000,23201.00000,26518.00000,1386.00000,19508.00000,-1054.00000,18578.00000,45096.00000
2011-09-30,1647.00000,1424.00000,607.00000,231.00000,4214.00000,39425.00000,1171.00000,256.00000,40852.00000,45066.00000,3724.00000,8765.00000,1722.00000,22777.00000,26501.00000,1386.00000,18833.00000,-732.00000,18565.00000,45066.00000
2011-06-30,1055.00000,1427.00000,630.00000,272.00000,3699.00000,38908.00000,1176.00000,246.00000,40330.00000,44029.00000,3153.00000,8759.00000,1795.00000,22570.00000,25723.00000,1386.00000,18159.00000,-719.00000,18306.00000,44029.00000
2011-03-31,1248.00000,1275.00000,582.00000,265.00000,3677.00000,38512.00000,1157.00000,241.00000,39910.00000,43587.00000,2947.00000,9016.00000,1790.00000,22594.00000,25541.00000,1386.00000,17607.00000,-728.00000,18046.00000,43587.00000
2010-12-31,1086.00000,1184.00000,534.00000,367.00000,3432.00000,38253.00000,1137.00000,266.00000,39656.00000,43088.00000,2952.00000,9003.00000,1813.00000,22373.00000,25325.00000,1385.00000,17154.00000,-734.00000,17763.00000,43088.00000
2010-09-30,1358.00000,1297.00000,504.00000,394.00000,3910.00000,37749.00000,1104.00000,238.00000,39091.00000,43001.00000,3185.00000,9060.00000,1840.00000,22380.00000,25565.00000,1385.00000,16566.00000,-649.00000,17436.00000,43001.00000
2010-06-30,1317.00000,1250.00000,496.00000,275.00000,3702.00000,37527.00000,1064.00000,242.00000,38833.00000,42535.00000,3035.00000,9117.00000,1871.00000,22177.00000,25212.00000,1385.00000,15951.00000,-648.00000,17323.00000,42535.00000
2010-03-31,1753.00000,1218.00000,506.00000,280.00000,4112.00000,37301.00000,1036.00000,263.00000,38600.00000,42712.00000,2909.00000,9480.00000,1994.00000,22590.00000,25499.00000,1385.00000,15406.00000,-648.00000,17213.00000,42712.00000
2009-12-31,1850.00000,666.00000,475.00000,350.00000,3680.00000,37202.00000,1036.00000,266.00000,38504.00000,42184.00000,2682.00000,9636.00000,2021.00000,22701.00000,25383.00000,1384.00000,15027.00000,-654.00000,16801.00000,42184.00000
2009-09-30,1435.00000,727.00000,490.00000,266.00000,3217.00000,37122.00000,1013.00000,337.00000,38472.00000,41689.00000,2748.00000,9620.00000,2297.00000,22512.00000,25260.00000,1384.00000,14752.00000,-713.00000,16429.00000,41689.00000
2009-06-30,1656.00000,629.00000,507.00000,271.00000,3346.00000,36763.00000,990.00000,451.00000,38204.00000,41550.00000,2834.00000,9816.00000,2394.00000,22697.00000,25531.00000,1384.00000,14371.00000,-714.00000,16019.00000,41550.00000
2009-03-31,1466.00000,548.00000,446.00000,267.00000,3017.00000,35856.00000,947.00000,379.00000,37182.00000,40199.00000,2682.00000,9058.00000,2488.00000,21863.00000,24545.00000,1384.00000,14040.00000,-730.00000,15654.00000,40199.00000
