,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,524.46800,220.49200,303.97600,57.87200,-3.32600,243.57200,60.40390,-50.96900,9.43500,-0.65000,10.08500,,9.92900,0.87300,6.73200,215.26090,60.40390,538.80900,539.14700,,0.01000
2022-09-30,520.40600,220.20800,300.19800,24.54900,-3.40700,201.87400,98.32400,257.45100,355.77500,-3.83400,359.60900,,359.28400,-1.29800,353.36600,238.60400,98.32400,538.41700,546.01500,0.66000,0.65000
2022-06-30,517.93200,215.04400,302.88800,24.78100,-0.13900,206.02100,96.86700,-28.66600,68.20100,-0.71800,68.91900,,69.30100,2.99200,68.05700,260.01500,96.86700,539.55800,539.81500,0.13000,0.13000
2022-03-31,498.37200,207.24700,291.12500,23.83100,-0.13200,201.99200,89.13310,-15.41400,73.71900,0.77700,72.94200,,75.02600,0.31700,69.63700,249.55110,89.13310,539.35200,539.58600,0.13000,0.13000
2021-12-31,483.20500,199.24700,283.95790,26.04300,-18.70200,223.28280,60.67510,-35.17200,25.50300,-1.85700,27.36000,,28.94300,3.63300,28.49900,215.82010,60.67510,538.93000,539.24100,0.05000,0.05000
2021-09-30,481.46500,202.13900,279.32600,23.27000,-0.28500,200.73000,78.59600,-20.26700,58.32900,-0.64900,58.97800,,61.30500,0.60100,54.44200,225.64300,78.59600,539.02100,539.38800,0.10000,0.10000
2021-06-30,476.23800,190.13200,286.10600,24.08800,-0.93100,197.09700,89.00900,77.42600,166.43500,-0.76300,167.19800,,168.06500,113.96000,275.99300,245.60600,89.00900,538.92900,544.69400,0.51000,0.51000
2021-03-31,455.27600,181.76100,273.51500,24.90200,-3.24200,186.48000,87.03500,-208.93500,-121.90000,0.00800,-121.90800,,-120.58500,270.00800,143.33700,227.38600,87.03500,538.67900,538.67900,0.27000,0.27000
2020-12-31,431.69700,184.21500,247.48200,25.50700,-26.74200,200.84600,46.63600,-49.50200,-2.86600,-2.63100,-0.23500,,-19.20400,169.44900,146.12900,168.41500,46.63600,538.38100,538.38100,0.27000,0.27000
2020-09-30,423.56500,183.14100,240.42400,21.66100,1.77700,163.83900,76.58500,-62.62800,13.95700,22.97000,-9.01300,,-27.76200,-31.81900,-63.76800,235.38300,76.58500,538.33300,538.33300,-0.12000,-0.12000
2020-06-30,408.55900,177.80800,230.75100,23.72000,-6.83700,170.62100,60.13000,18.05200,78.18200,0.10600,78.07600,,60.34100,-5.29200,51.13100,224.19200,60.13000,538.26200,538.51700,0.09000,0.09000
2020-03-31,381.05400,237.37700,143.67700,22.34900,-11.10700,173.13100,-29.45400,157.86400,128.41000,-29.86800,158.27800,,147.13200,135.40800,277.46400,151.29300,-29.45400,506.47600,515.04500,0.55000,0.54000
2019-12-31,318.92000,105.42000,213.50000,21.52100,-2.65500,137.91100,75.58900,73.74000,149.32900,-1.94000,151.26900,,153.32000,-105.96100,43.20000,272.70900,75.58900,497.11600,500.49300,0.09000,0.09000
2019-09-30,537.97100,248.06900,289.90200,22.97000,-38.25700,234.49000,55.41200,-96.33800,-40.92600,-6.26100,-34.66500,,-42.30800,,-46.24900,234.26100,55.41200,491.20300,491.20300,-0.09000,-0.09000
2019-06-30,491.56700,213.99300,277.57400,27.12000,-68.53800,262.29100,15.28300,-25.62100,-10.33800,-1.86400,-8.47400,,-9.98000,,-13.99100,189.56700,15.28300,478.73900,478.73900,-0.03000,-0.03000
2019-03-31,436.15400,168.92700,267.22700,21.35500,-8.85800,166.68200,100.54500,-38.15000,62.39500,-3.45800,65.85300,,64.99000,,61.02900,239.30600,100.54500,477.76600,479.13100,0.13000,0.13000
2018-12-31,441.91900,177.41300,264.50600,21.51000,-36.08000,190.03300,74.47300,759.12700,833.60000,-2.93500,836.53500,,834.38300,,829.32500,211.54900,74.47300,472.99800,479.90600,1.75000,1.73000
2018-09-30,456.02200,181.20700,274.81500,23.50300,-5.26800,165.45800,109.35700,-10.44900,98.90800,-4.92900,103.83700,,102.92600,,98.94600,247.50500,109.35700,469.86700,470.11800,0.21000,0.21000
2018-06-30,469.55100,173.86600,295.68500,22.51400,-13.91200,182.12200,113.56300,-25.18800,88.37500,-4.65400,93.02900,,92.92800,,89.48100,264.50800,113.56300,469.76900,469.94100,0.19000,0.19000
2018-03-31,479.19700,172.55200,306.64500,29.17500,0.00000,174.62000,132.02500,-94.69400,37.33100,-5.33600,42.66700,,43.23700,,39.84100,284.53000,132.02500,469.55700,469.69500,0.08000,0.08000
2017-12-31,443.25900,198.66900,244.59000,21.48500,-84.37400,248.15100,-3.56100,-47.39600,-50.95700,13.29700,-64.25400,,-57.92400,,-58.85700,140.09300,-3.56100,468.75900,468.93500,-0.12000,-0.11000
2017-09-30,454.02300,155.33800,298.68500,23.52300,-25.32800,180.01900,118.66600,-130.92900,-12.26300,-5.48100,-6.78200,,-5.72000,,-7.78800,256.46600,118.66600,468.97500,468.97500,-0.02000,-0.02000
2017-06-30,458.92800,153.16300,305.76500,21.28600,-56.68200,209.58600,96.17900,-77.30500,18.87400,-2.98700,21.86100,,22.10100,,19.28300,234.10100,96.17900,468.64600,468.83900,0.04000,0.04000
2017-03-31,492.16800,159.08100,333.08700,22.47800,,160.08900,172.99800,281.74800,454.74600,-6.16200,460.90800,,464.17700,,460.37500,317.17500,172.99800,468.29900,475.17300,0.98000,0.97000
2016-12-31,539.94490,195.64800,344.29690,20.60000,,171.28690,173.01000,-105.48500,67.52500,3.37200,64.15300,,79.54100,-18.24100,58.48800,328.41900,173.01000,467.19500,467.40300,0.12000,0.13000
2016-09-30,530.55700,187.71400,342.84300,34.78100,0.00000,178.95100,163.89200,-116.43700,47.45500,-0.42400,47.87900,,45.82600,108.21300,150.92400,321.60500,163.89200,467.62800,467.83500,0.32000,0.32000
2016-06-30,538.33500,179.08000,359.25500,22.77900,,163.52100,195.73400,0.62100,196.35500,-2.17900,198.53400,,197.46700,107.37500,301.37500,346.56100,195.73400,467.08400,471.42500,0.65000,0.64000
2016-03-31,520.45700,175.95700,344.50000,25.45100,,167.78100,176.71900,-120.77000,55.94900,3.70400,52.24500,,51.33700,68.40800,115.76200,328.66600,176.71900,466.07400,466.26200,0.25000,0.25000
2015-12-31,64.66700,168.79100,-104.12400,21.81300,484.57200,-323.52420,219.40010,-118.02600,101.37400,-3.18700,104.56100,,104.46900,,-599.16410,371.86720,219.40010,462.79500,462.79500,-1.30000,-1.30000
2015-09-30,657.49900,173.51500,483.98400,20.53400,-69.62200,226.41300,257.57100,-122.67700,134.89400,-1.98000,136.87400,-27.23400,117.95400,,115.04600,402.49900,257.57100,463.33700,463.58600,0.25000,0.25000
2015-06-30,607.53200,136.34200,471.19000,28.84500,-44.83500,212.49000,258.70000,-107.51600,151.18400,-4.56300,155.74700,,167.74800,,164.51500,393.37800,258.70000,461.87400,462.10600,0.36000,0.36000
2015-03-31,610.79100,132.03100,478.76000,24.77300,-478.46400,621.14910,-142.38900,-108.79200,-251.18100,-0.07700,-251.10400,,-237.50300,,-240.94900,-17.32800,-142.38900,460.88000,460.88000,-0.52000,-0.52000
2014-12-31,-25.91790,127.12100,-153.03890,19.73100,,135.01700,-288.05590,-108.19700,-396.25300,-3.34600,-392.90700,,-435.90000,635.53000,196.14500,-161.33090,-288.05600,458.42500,458.79600,0.43000,0.42000
2014-09-30,596.63800,99.59900,497.03900,19.47900,0.00000,147.92900,349.11000,-108.16400,240.94600,0.05500,240.89100,0.00000,251.05900,0.00000,247.20800,481.91800,349.11000,458.79900,459.14100,0.54000,0.54000
2014-06-30,536.12100,78.86700,457.25400,21.65600,0.00000,142.19500,315.05900,-106.13300,208.92600,1.33900,207.58700,,222.27900,,218.39600,438.64200,315.05900,458.24700,458.58800,0.48000,0.48000
2014-03-31,529.99200,75.70700,454.28500,20.89900,0.00000,128.78200,325.50300,-104.70800,220.79500,1.44600,219.34900,,233.87700,29.74600,258.04700,442.57800,325.50300,457.29400,457.67400,0.56000,0.56000
2013-12-31,530.29590,76.29200,454.00390,12.99800,,125.32900,328.67490,-108.41800,220.25700,2.26100,217.99600,,238.15100,59.48800,292.69100,446.60690,328.67500,455.00200,455.70200,0.64000,0.64000
2013-09-30,546.15700,75.41700,470.74000,45.32600,,150.10900,320.63100,-106.45600,214.17500,1.03400,213.14100,,227.03300,9.82500,233.28200,453.25400,320.63100,455.34500,456.07800,0.51000,0.51000
2013-06-30,512.23900,73.88700,438.35200,24.06200,,133.27200,305.08000,-105.16400,199.91600,1.60400,198.31200,,213.89700,2.82800,213.02300,420.86100,305.08000,454.61800,455.43100,0.47000,0.47000
2013-03-31,511.18600,72.68600,438.50000,20.65600,,123.83500,314.66500,-96.99800,217.66700,0.91600,216.75100,,231.55200,2.23200,230.10700,429.37800,314.66500,453.65100,454.61300,0.51000,0.51000
2012-12-31,495.66190,70.65400,425.00790,14.10900,,121.47100,303.53690,-105.96900,197.56800,-0.51400,198.08190,,209.73400,36.52600,239.93610,413.74890,303.53690,427.04700,428.31600,0.53000,0.54000
2012-09-30,468.06600,72.65300,395.41300,19.41500,-7.87800,114.46300,280.95000,-102.58500,178.36500,-0.60200,178.96700,,192.36300,6.68000,195.62900,380.05200,280.95000,429.55700,430.77800,0.46000,0.45000
2012-06-30,460.41500,70.07600,390.33900,14.80100,,99.67400,290.66500,-101.32600,189.33900,0.17100,189.16800,,204.90000,0.07500,201.46700,387.92800,290.66500,420.46800,421.67100,0.48000,0.48000
2012-03-31,455.82700,67.33300,388.49400,20.08900,,105.36900,283.12500,-103.31600,179.80900,-0.70900,180.51800,,194.19300,2.37100,175.25700,380.60600,283.12500,410.01800,411.66100,0.43000,0.43000
2011-12-31,433.93600,67.57900,366.35700,19.58800,-125.00000,222.97500,143.38200,-102.41300,40.96900,1.01100,39.95800,,53.91000,16.87700,62.06700,237.90900,143.38200,398.44600,400.21800,0.16000,0.16000
2011-09-30,441.22900,57.66200,383.56700,19.64700,-15.40000,121.71900,261.84800,-104.23100,157.61700,0.00500,157.61200,,174.66200,0.80900,166.36700,358.02300,261.84800,407.08100,408.64600,0.41000,0.41000
2011-06-30,488.12500,46.61500,441.51000,34.87200,,124.68600,316.82400,-97.61100,219.21300,0.24800,218.96500,,233.91500,0.33700,222.99300,414.24600,316.82400,406.19300,411.71000,0.55000,0.55000
2011-03-31,331.12800,46.84500,284.28300,21.95200,,113.13400,171.14900,-98.26700,72.88200,0.03700,72.84500,,73.64300,0.34100,63.87500,281.71300,171.14900,372.11600,373.96000,0.17000,0.17000
2010-12-31,326.46000,58.22900,268.23100,17.98000,,90.96700,177.26410,-56.17000,121.09400,-1.39800,122.49200,,123.18400,22.34200,136.20200,271.82210,177.26410,305.57400,306.90000,0.43000,0.43000
2010-09-30,317.04900,60.42600,256.62300,19.59000,0.00000,97.90300,158.72000,-64.94100,93.77900,0.86700,92.91200,-71.69300,21.42800,4.74500,16.99500,237.53200,158.72000,309.44800,311.09200,0.05000,0.05000
2010-06-30,301.87700,45.41600,256.46100,20.52500,,98.22500,158.23600,-72.56400,85.67200,0.57100,85.10100,,87.58700,1.00800,79.46500,236.18000,158.23600,294.88000,296.03700,0.27000,0.27000
2010-03-31,294.82000,46.08700,248.73300,24.92400,11.90000,90.95800,157.77500,-75.63900,82.13600,0.37200,81.76400,,83.14700,0.95400,74.83600,238.31000,157.77500,293.22300,294.08700,0.26000,0.25000
2009-12-31,290.18200,43.49900,246.68300,16.38000,-54.48500,146.11900,100.56400,-69.77900,30.78500,0.50700,30.27800,,31.33400,4.15000,26.39700,192.51100,100.56400,274.21600,274.63100,0.06000,0.06000
2009-09-30,287.06800,46.15900,240.90900,22.85600,-117.09600,221.12900,19.78000,-68.05600,-48.27600,-0.32500,-47.95100,,-46.62300,3.40300,-52.39700,102.33400,19.78000,284.81200,284.81200,-0.18000,-0.18000
2009-06-30,292.48900,45.68500,246.80400,20.23200,-5.78100,105.30600,141.49800,-73.69200,67.80600,0.84000,66.96600,,68.09300,33.08500,91.78400,214.91900,141.49800,265.42200,265.54200,0.35000,0.35000
2009-03-31,277.01000,47.95300,229.05700,18.53100,,98.75400,130.30300,-79.57400,50.72900,0.88800,49.84100,,49.84100,2.86800,43.28500,210.44200,130.30300,253.33500,253.42300,0.17000,0.17000
